Time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,Sample_rate
0.004, 119122.01, -72682.46, 118551.44, 119945.78, 118410.59, 118716.88, 118456.48, 119202.50,250
0.008, 119261.87, -73818.17, 118662.50, 120084.25, 118540.98, 118854.81, 118363.26, 119334.55,250
0.012, 119480.28, -75516.30, 118884.68, 120301.87, 118762.28, 119072.05, 118572.24, 119553.04,250
0.016, 119374.20, -74635.06, 118806.88, 120196.03, 118666.05, 118967.52, 118697.99, 119453.77,250
0.02, 119152.16, -72790.91, 118585.09, 119975.42, 118442.59, 118747.28, 118514.29, 119233.72,250
0.024, 119235.87, -73497.83, 118640.02, 120058.21, 118516.66, 118829.67, 118372.29, 119310.55,250
0.028, 119475.79, -75393.03, 118876.70, 120297.27, 118756.98, 119068.43, 118544.91, 119548.93,250
0.032, 119430.53, -74986.68, 118858.99, 120252.88, 118721.58, 119023.64, 118716.77, 119509.56,250
0.036000000000000004, 119193.80, -72992.84, 118628.88, 120017.48, 118486.02, 118788.30, 118573.66, 119275.21,250
0.04000000000000001, 119217.30, -73208.60, 118626.25, 120040.38, 118499.80, 118811.41, 118392.98, 119293.94,250
0.04400000000000001, 119465.96, -75183.30, 118865.05, 120287.79, 118746.23, 119058.77, 118521.33, 119539.49,250
0.048000000000000015, 119482.32, -75272.52, 118906.65, 120304.15, 118771.66, 119075.09, 118727.48, 119560.26,250
0.05200000000000002, 119242.55, -73264.99, 118680.14, 120065.54, 118535.41, 118837.38, 118632.35, 119324.72,250
0.05600000000000002, 119205.96, -72982.04, 118620.10, 120029.11, 118489.79, 118800.66, 118424.52, 119283.50,250
0.060000000000000026, 119450.16, -74914.53, 118848.60, 120271.96, 118729.18, 119043.64, 118502.09, 119523.80,250
0.06400000000000003, 119529.16, -75485.91, 118948.73, 120350.15, 118816.30, 119122.26, 118732.48, 119606.95,250
0.06800000000000003, 119301.34, -73590.05, 118739.81, 120124.06, 118594.48, 118895.95, 118690.87, 119383.79,250
0.07200000000000004, 119206.68, -72817.20, 118625.46, 120030.09, 118492.25, 118801.44, 118467.80, 119284.91,250
0.07600000000000004, 119429.86, -74596.84, 118827.68, 120252.27, 118709.10, 119023.57, 118489.25, 119503.89,250
0.08000000000000004, 119561.91, -75616.73, 118976.72, 120383.41, 118848.06, 119155.42, 118724.82, 119639.32,250
0.08400000000000005, 119364.52, -73961.07, 118802.65, 120186.80, 118658.16, 118959.34, 118742.70, 119447.30,250
0.08800000000000005, 119218.08, -72746.21, 118642.34, 120040.77, 118505.77, 118813.58, 118519.14, 119298.01,250
0.09200000000000005, 119402.10, -74253.54, 118801.44, 120223.99, 118681.68, 118996.68, 118479.28, 119476.28,250
0.09600000000000006, 119582.95, -75651.87, 118993.06, 120404.28, 118867.34, 119176.73, 118708.79, 119659.48,250
0.10000000000000006, 119427.29, -74340.73, 118864.77, 120250.10, 118720.82, 119022.68, 118784.30, 119510.48,250
0.10400000000000006, 119237.26, -72762.46, 118667.42, 120060.73, 118526.83, 118833.60, 118573.14, 119318.81,250
0.10800000000000007, 119378.96, -73904.12, 118780.50, 120201.02, 118659.28, 118974.09, 118482.03, 119453.46,250
0.11200000000000007, 119593.74, -75601.29, 118999.43, 120414.50, 118876.50, 119187.52, 118688.07, 119669.09,250
0.11600000000000008, 119488.35, -74713.88, 118921.98, 120309.71, 118780.59, 119082.89, 118814.43, 119570.09,250
0.12000000000000008, 119267.97, -72864.27, 118700.52, 120090.80, 118558.84, 118863.53, 118630.43, 119350.16,250
0.12400000000000008, 119352.50, -73569.55, 118757.18, 120174.66, 118633.69, 118947.40, 118489.37, 119427.67,250
0.12800000000000009, 119594.52, -75463.53, 118996.46, 120415.23, 118875.89, 119188.23, 118665.16, 119668.17,250
0.1320000000000001, 119548.55, -75051.27, 118977.35, 120370.35, 118839.77, 119142.37, 118836.20, 119628.41,250
0.1360000000000001, 119308.83, -73056.63, 118744.33, 120132.27, 118601.10, 118903.88, 118688.97, 119390.63,250
0.1400000000000001, 119333.16, -73278.27, 118742.03, 120155.77, 118615.63, 118927.82, 118508.63, 119408.85,250
0.1440000000000001, 119583.69, -75255.64, 118982.98, 120405.05, 118863.94, 119177.17, 118639.45, 119656.59,250
0.1480000000000001, 119601.54, -75339.48, 119026.16, 120422.90, 118890.84, 119195.05, 118847.53, 119679.77,250
0.1520000000000001, 119361.24, -73328.63, 118798.20, 120184.16, 118653.92, 118955.60, 118750.41, 119443.00,250
0.1560000000000001, 119325.37, -73049.66, 118738.92, 120148.65, 118609.15, 118919.95, 118542.70, 119402.59,250
0.16000000000000011, 119569.06, -74982.70, 118967.09, 120391.38, 118848.31, 119162.91, 118620.62, 119641.59,250
0.16400000000000012, 119645.51, -75550.50, 119063.67, 120466.48, 118932.96, 119238.06, 118847.33, 119720.77,250
0.16800000000000012, 119419.76, -73651.92, 118856.80, 120242.34, 118713.09, 119013.85, 118806.96, 119499.89,250
0.17200000000000013, 119327.00, -72882.13, 118744.63, 120150.21, 118612.55, 118921.13, 118585.21, 119403.30,250
0.17600000000000013, 119550.29, -74665.04, 118946.77, 120372.16, 118829.11, 119143.24, 118606.58, 119621.64,250
0.18000000000000013, 119680.45, -75681.23, 119093.31, 120501.40, 118965.91, 119272.68, 118840.17, 119754.36,250
0.18400000000000014, 119480.77, -74021.51, 118917.34, 120303.21, 118773.95, 119074.35, 118855.87, 119560.73,250
0.18800000000000014, 119335.04, -72810.27, 118757.74, 120158.10, 118622.27, 118929.36, 118632.62, 119413.12,250
0.19200000000000014, 119523.52, -74320.40, 118921.73, 120346.13, 118802.89, 119117.43, 118597.57, 119597.77,250
0.19600000000000015, 119701.03, -75717.59, 119110.95, 120522.26, 118985.30, 119294.25, 118824.89, 119776.42,250
0.20000000000000015, 119542.84, -74400.30, 118978.16, 120364.34, 118836.02, 119136.38, 118896.52, 119622.45,250
0.20400000000000015, 119355.12, -72825.24, 118782.38, 120177.97, 118644.48, 118949.84, 118687.00, 119433.59,250
0.20800000000000016, 119497.43, -73973.50, 118897.26, 120319.73, 118777.32, 119091.19, 118597.37, 119570.05,250
0.21200000000000016, 119714.62, -75667.67, 119119.59, 120535.31, 118997.27, 119307.77, 118807.16, 119787.84,250
0.21600000000000016, 119609.61, -74774.90, 119041.90, 120431.28, 118901.84, 119203.48, 118933.36, 119688.91,250
0.22000000000000017, 119388.06, -72935.15, 118819.01, 120211.37, 118679.06, 118982.98, 118747.46, 119467.97,250
0.22400000000000017, 119475.19, -73650.18, 118878.58, 120297.77, 118756.45, 119069.57, 118609.17, 119549.13,250
0.22800000000000017, 119717.41, -75543.44, 119118.09, 120538.77, 118998.85, 119310.55, 118785.75, 119790.64,250
0.23200000000000018, 119669.00, -75125.59, 119097.13, 120490.96, 118960.18, 119262.67, 118955.16, 119747.97,250
0.23600000000000018, 119430.48, -73131.69, 118865.23, 120254.21, 118722.94, 119025.67, 118809.66, 119511.51,250
0.24000000000000019, 119455.59, -73358.63, 118863.91, 120278.66, 118738.43, 119050.55, 118629.94, 119531.16,250
0.2440000000000002, 119706.77, -75334.12, 119106.12, 120528.27, 118987.52, 119300.64, 118762.28, 119780.34,250
0.2480000000000002, 119721.62, -75412.13, 119146.38, 120542.88, 119011.73, 119315.64, 118967.85, 119801.10,250
0.25200000000000017, 119482.12, -73400.60, 118919.19, 120305.29, 118775.91, 119077.66, 118871.45, 119565.58,250
0.25600000000000017, 119445.77, -73125.00, 118859.04, 120268.90, 118730.48, 119041.34, 118662.79, 119523.45,250
0.2600000000000002, 119689.19, -75060.75, 119087.09, 120511.20, 118969.30, 119283.79, 118741.07, 119762.66,250
0.2640000000000002, 119764.24, -75623.46, 119184.80, 120586.27, 119052.41, 119358.67, 118968.81, 119843.03,250
0.2680000000000002, 119536.34, -73722.80, 118974.02, 120359.11, 118830.01, 119131.24, 118924.62, 119619.02,250
0.2720000000000002, 119443.54, -72960.02, 118861.72, 120267.06, 118729.96, 119039.30, 118702.58, 119522.22,250
0.2760000000000002, 119666.56, -74745.13, 119065.08, 120489.51, 118946.39, 119261.53, 118725.11, 119741.11,250
0.2800000000000002, 119795.42, -75755.58, 119209.43, 120617.23, 119081.75, 119388.95, 118957.61, 119871.71,250
0.2840000000000002, 119598.23, -74091.59, 119035.24, 120421.07, 118892.32, 119192.82, 118974.80, 119679.64,250
0.2880000000000002, 119453.44, -72883.45, 118876.16, 120276.88, 118741.47, 119048.60, 118751.33, 119533.15,250
0.2920000000000002, 119640.86, -74398.96, 119038.55, 120463.02, 118920.58, 119235.11, 118714.27, 119715.16,250
0.2960000000000002, 119819.88, -75793.24, 119228.45, 120641.03, 119104.53, 119413.38, 118943.55, 119895.22,250
0.3000000000000002, 119661.96, -74473.02, 119097.00, 120484.48, 118955.60, 119256.27, 119016.30, 119742.94,250
0.3040000000000002, 119472.95, -72901.11, 118900.15, 120296.50, 118762.84, 119068.01, 118804.63, 119552.88,250
0.3080000000000002, 119614.51, -74052.49, 119014.83, 120437.45, 118895.32, 119208.91, 118713.95, 119688.91,250
0.3120000000000002, 119831.27, -75744.85, 119235.89, 120653.10, 119114.61, 119424.56, 118923.01, 119905.64,250
0.3160000000000002, 119723.63, -74847.56, 119155.89, 120546.06, 119016.40, 119317.54, 119046.91, 119802.84,250
0.32000000000000023, 119502.05, -73005.53, 118933.31, 120325.59, 118793.13, 119097.04, 118861.01, 119581.65,250
0.32400000000000023, 119588.67, -73717.08, 118992.15, 120411.73, 118869.99, 119182.98, 118721.69, 119662.77,250
0.32800000000000024, 119831.19, -75605.20, 119231.64, 120652.73, 119112.80, 119424.77, 118898.91, 119904.01,250
0.33200000000000024, 119784.34, -75184.45, 119213.23, 120605.94, 119075.63, 119378.30, 119070.17, 119863.59,250
